,experience_id,last_experience_id_array,timestamp,is_cat_voice,is_human_voice,human_voice_sequence,cat_voice_sequence,meow_loudness,cat_detected,cat_position_x,cat_position_y,cat_distance_change,movement_intensity,cat_interaction_detected,delta_cat_position,sum_cat_position,delta_arm_angle,sum_arm_movement,delta_robot_position,sum_robot_position,delta_robot_rotation
0,0,,,,,,,,,,,,,,,,,,,,
1,1,,,,,,,,,,,,,,,,,,,,
2,2,,,,,,,,,,,,,,,,,,,,
3,3,,,,,,,,,,,,,,,,,,,,
4,4,,,,,,,,,,,,,,,,,,,,
5,5,,,,,,,,,,,,,,,,,,,,
6,6,,,,,,,,,,,,,,,,,,,,
7,7,,,,,,,,,,,,,,,,,,,,
8,8,,,,,,,,,,,,,,,,,,,,
9,9,,,,,,,,,,,,,,,,,,,,
10,10,,,,,,,,,,,,,,,,,,,,
11,11,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",2025-11-01 15:41:39.261819,True,True,"[6, 11]",[6],none,False,,,,6.4837424011650455,True,"(nan, nan)",,0.0,0.0,"(np.float64(0.0), np.float64(0.0))",0.0,54.27342714376723
12,12,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",2025-11-01 15:41:39.507064,True,True,"[6, 11, 12]",[6],none,False,,,,10.347782097878548,True,"(nan, nan)",,0.0,0.0,"(np.float64(0.0), np.float64(0.0))",0.0,65.01638580247017
13,13,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",2025-11-01 15:41:39.778786,True,True,"[6, 11, 12, 13]","[6, 13]",low,True,212.41693115234375,341.55926513671875,no_change,14.065494250223486,True,"(0.0, 0.0)",0.0,0.0,0.0,"(np.float64(0.0), np.float64(0.0))",0.0,65.01638580247017
14,14,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",2025-11-01 15:41:40.024392,True,True,"[6, 11, 12, 13]","[6, 13]",none,True,212.86569213867188,349.24554443359375,farther,17.077497714879872,True,"(np.float64(0.448760986328125), np.float64(7.686279296875))",0.0,0.0,0.0,"(np.float64(0.0), np.float64(0.0))",0.0,54.27342714376723
15,15,"[4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",2025-11-01 15:41:40.267204,True,True,"[6, 11, 12, 13]","[6, 13]",none,True,237.83062744140625,348.47052001953125,no_change,19.15033440446028,True,"(np.float64(25.4136962890625), np.float64(6.9112548828125))",0.0,0.0,0.0,"(np.float64(0.0), np.float64(0.0))",0.0,54.18748347449761
16,16,"[5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]",2025-11-01 15:41:40.538498,True,True,"[6, 11, 12, 13]","[6, 13]",none,True,325.3402099609375,357.2199401855469,closer,19.896142312017492,True,"(np.float64(112.92327880859375), np.float64(15.660675048828125))",0.0,0.0,0.0,"(np.float64(0.0), np.float64(0.0))",0.0,43.44452481579468
17,17,"[6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]",2025-11-01 15:41:40.782505,True,True,"[6, 11, 12, 13]","[6, 13]",none,True,397.82855224609375,361.9659423828125,no_change,22.827888400192496,True,"(np.float64(185.41162109375), np.float64(20.40667724609375))",0.0,0.0,0.0,"(np.float64(0.0), np.float64(0.0))",0.0,43.44452481579468
18,18,"[7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]",2025-11-01 15:41:41.050754,True,True,"[11, 12, 13, 18]","[13, 18]",low,True,396.985595703125,362.0977478027344,closer,24.54235914714651,True,"(np.float64(184.56866455078125), np.float64(20.538482666015625))",0.0,0.0,0.0,"(np.float64(0.0), np.float64(0.0))",0.0,43.44452481579468
19,19,"[8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",2025-11-01 15:41:41.278396,True,True,"[11, 12, 13, 18]","[13, 18]",none,True,399.2662048339844,360.3633117675781,no_change,22.707632577908942,True,"(np.float64(186.84927368164062), np.float64(18.804046630859375))",0.0,0.0,0.0,"(np.float64(0.0), np.float64(0.0))",0.0,43.44452481579468
20,20,"[9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]",2025-11-01 15:41:41.544784,True,True,"[11, 12, 13, 18, 20]","[13, 18]",none,True,393.80859375,361.8760986328125,closer,22.62389896128147,True,"(np.float64(181.39166259765625), np.float64(20.31683349609375))",0.0,0.0,0.0,"(np.float64(0.0), np.float64(0.0))",0.0,43.44452481579468
21,21,"[10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21]",2025-11-01 15:41:41.809706,True,True,"[11, 12, 13, 18, 20]","[13, 18]",none,True,395.8494873046875,362.1161804199219,no_change,37.77995001632096,True,"(np.float64(183.43255615234375), np.float64(20.556915283203125))",0.0,0.0,0.0,"(np.float64(0.0), np.float64(0.0))",0.0,32.48670698391768
22,22,"[11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22]",2025-11-01 15:41:42.075144,True,True,"[11, 12, 13, 18, 20]","[13, 18]",none,True,394.8074645996094,362.49139404296875,closer,37.5355404448589,True,"(np.float64(182.39053344726562), np.float64(20.93212890625))",0.0,0.0,0.0,"(np.float64(0.0), np.float64(0.0))",0.0,21.528889152040684
23,23,"[12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",2025-11-01 15:41:42.342077,True,True,"[12, 13, 18, 20]","[13, 18]",none,True,397.3739318847656,354.0239562988281,closer,37.34091450521968,True,"(np.float64(184.95700073242188), np.float64(12.464691162109375))",0.0,0.0,0.0,"(np.float64(0.0), np.float64(0.0))",0.0,10.785930493337748
24,24,"[13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24]",2025-11-01 15:41:42.570382,True,True,"[13, 18, 20, 24]","[13, 18]",none,True,399.0653076171875,352.4353942871094,closer,34.11257488191606,True,"(np.float64(186.64837646484375), np.float64(10.876129150390625))",0.0,0.0,0.0,"(np.float64(0.0), np.float64(0.0))",0.0,10.785930493337748
25,25,"[14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]",2025-11-01 15:41:42.813385,True,True,"[18, 20, 24, 25]",[18],none,True,397.1240539550781,357.0247802734375,closer,30.385999093069433,True,"(np.float64(184.25836181640625), np.float64(7.77923583984375))",0.0,0.0,0.0,"(np.float64(0.0), np.float64(0.0))",0.0,10.785930493337748
26,26,"[15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26]",2025-11-01 15:41:43.055880,True,True,"[18, 20, 24, 25, 26]",[18],none,True,399.0268249511719,359.12921142578125,closer,28.700840707882872,True,"(np.float64(161.19619750976562), np.float64(10.65869140625))",0.0,0.0,0.0,"(np.float64(0.0), np.float64(0.0))",0.0,0.0
27,27,"[16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]",2025-11-01 15:41:43.336043,True,True,"[18, 20, 24, 25, 26, 27]",[18],none,True,394.040771484375,351.081298828125,closer,27.876101903340707,True,"(np.float64(68.7005615234375), np.float64(-6.138641357421875))",0.0,0.0,0.0,"(np.float64(0.0), np.float64(0.0))",0.0,0.0
28,28,"[17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28]",2025-11-01 15:41:43.608392,True,True,"[18, 20, 24, 25, 26, 27, 28]",[18],none,True,395.1005554199219,319.8875732421875,closer,27.797930691094276,True,"(np.float64(-2.727996826171875), np.float64(-42.078369140625))",0.0,0.0,0.0,"(np.float64(0.0), np.float64(0.0))",0.0,0.0
29,29,"[18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",2025-11-01 15:41:43.841536,True,True,"[18, 20, 24, 25, 26, 27, 28, 29]",[18],none,True,387.78326416015625,326.4490051269531,closer,25.221494235110924,True,"(np.float64(-9.20233154296875), np.float64(-35.64874267578125))",0.0,0.0,0.0,"(np.float64(0.0), np.float64(0.0))",0.0,0.0
30,30,"[19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]",2025-11-01 15:41:44.105428,False,True,"[20, 24, 25, 26, 27, 28, 29]",[],none,True,370.0575866699219,329.14495849609375,closer,23.802993207440647,True,"(np.float64(-29.2086181640625), np.float64(-31.218353271484375))",0.0,0.0,0.0,"(np.float64(0.0), np.float64(0.0))",0.0,0.0
