,frame_id,timestamp,fft_result,classification,is_cat_voice,is_human_voice,meow_loudness,dominant_frequency
0,0,2025-07-23 11:20:32.897810,"{'freqs': array([          0,           4,           8, ...,        3992,        3996,        4000]), 'magnitudes': array([ 1.3474e+06,       87522,       88122, ...,      254.64,      127.43,           0])}",Noise,0,0,none,0.0
1,1,2025-07-23 11:20:32.922406,"{'freqs': array([          0,           4,           8, ...,        3992,        3996,        4000]), 'magnitudes': array([  8.931e+05,  2.8762e+05,       89639, ...,      281.61,      451.79,           0])}",Noise,0,0,none,0.0
2,2,2025-07-23 11:20:32.960113,"{'freqs': array([          0,           4,           8, ...,        3992,        3996,        4000]), 'magnitudes': array([ 2.7573e+05,  1.6873e+05,       32428, ...,      116.35,      389.88,         390])}",Noise,0,0,none,0.0
3,3,2025-07-23 11:20:32.981657,"{'freqs': array([          0,           4,           8, ...,        3992,        3996,        4000]), 'magnitudes': array([ 1.6458e+05,  1.1264e+05,  1.2335e+05, ...,       387.5,      176.94,           0])}",Noise,0,0,none,0.0
4,4,2025-07-23 11:20:33.047383,"{'freqs': array([          0,           4,           8, ...,        3992,        3996,        4000]), 'magnitudes': array([ 7.1292e+05,       24063,   1.083e+05, ...,      340.23,      37.799,           0])}",Noise,0,0,none,0.0
5,5,2025-07-23 11:20:33.249694,"{'freqs': array([          0,           4,           8, ...,        3992,        3996,        4000]), 'magnitudes': array([ 1.0575e+06,  1.7437e+05,  1.3263e+05, ...,      318.24,      423.56,         195])}",Noise,0,0,none,0.0
6,6,2025-07-23 11:20:33.439363,"{'freqs': array([          0,           4,           8, ...,        3992,        3996,        4000]), 'magnitudes': array([ 1.2043e+06,  1.8349e+05,       40477, ...,      127.16,      288.23,           0])}",Noise,0,0,none,0.0
7,7,2025-07-23 11:20:33.812372,"{'freqs': array([          0,           4,           8, ...,        3992,        3996,        4000]), 'magnitudes': array([ 1.9471e+06,    1.14e+05,       95025, ...,      313.58,       474.1,         195])}",Noise,0,0,none,0.0
8,8,2025-07-23 11:20:34.010974,"{'freqs': array([          0,           4,           8, ...,        3992,        3996,        4000]), 'magnitudes': array([ 1.5278e+06,  2.2313e+05,  1.3044e+05, ...,      215.07,      421.54,         195])}",Noise,0,0,none,0.0
9,9,2025-07-23 11:20:34.210082,"{'freqs': array([          0,           4,           8, ...,        3992,        3996,        4000]), 'magnitudes': array([ 1.0029e+06,  2.4391e+05,       80460, ...,      446.94,      307.34,         195])}",Noise,0,0,none,0.0
10,10,2025-07-23 11:20:34.578396,"{'freqs': array([          0,           4,           8, ...,        3992,        3996,        4000]), 'magnitudes': array([ 4.1086e+05,       95982,       46070, ...,      273.42,      220.78,         195])}",Noise,0,0,none,0.0
11,11,2025-07-23 11:20:34.770600,"{'freqs': array([          0,           4,           8, ...,        3992,        3996,        4000]), 'magnitudes': array([ 4.3914e+05,       93572,  1.1982e+05, ...,      852.72,      690.42,           0])}",Noise,0,0,none,212.0
12,12,2025-07-23 11:20:34.968334,"{'freqs': array([          0,           4,           8, ...,        3992,        3996,        4000]), 'magnitudes': array([ 6.0508e+05,      5802.7,       66953, ...,      265.55,       192.7,         195])}",Noise,0,0,none,0.0
13,13,2025-07-23 11:20:35.170630,"{'freqs': array([          0,           4,           8, ...,        3992,        3996,        4000]), 'magnitudes': array([ 4.5298e+05,       40317,  1.8077e+05, ...,      611.19,      245.98,         195])}",Noise,0,0,none,0.0
14,14,2025-07-23 11:20:35.560962,"{'freqs': array([          0,           4,           8, ...,        3992,        3996,        4000]), 'magnitudes': array([ 6.0352e+05,  1.0818e+05,       26835, ...,      220.59,      305.75,         195])}",Noise,0,0,none,0.0
15,15,2025-07-23 11:20:35.740829,"{'freqs': array([          0,           4,           8, ...,        3992,        3996,        4000]), 'magnitudes': array([ 5.7876e+05,       29657,       73426, ...,      230.68,      46.585,           0])}",Noise,0,0,none,0.0
16,16,2025-07-23 11:20:35.936875,"{'freqs': array([          0,           4,           8, ...,        3992,        3996,        4000]), 'magnitudes': array([  2.379e+05,       84573,       17404, ...,      54.677,      132.85,           0])}",Noise,0,0,none,0.0
17,17,2025-07-23 11:20:36.307887,"{'freqs': array([          0,           4,           8, ...,        3992,        3996,        4000]), 'magnitudes': array([  2.613e+05,  2.4258e+05,  3.2892e+05, ...,      1033.3,      381.04,           0])}",Noise,0,0,none,12.0
18,18,2025-07-23 11:20:36.506639,"{'freqs': array([          0,           4,           8, ...,        3992,        3996,        4000]), 'magnitudes': array([ 4.7834e+05,  2.8036e+05,   2.405e+05, ...,      1006.7,       704.9,         195])}",Noise,0,0,none,12.0
19,19,2025-07-23 11:20:36.702641,"{'freqs': array([          0,           4,           8, ...,        3992,        3996,        4000]), 'magnitudes': array([ 7.0122e+05,       96198,       75399, ...,      236.88,      151.11,           0])}",Noise,0,0,none,0.0
20,20,2025-07-23 11:20:37.077637,"{'freqs': array([          0,           4,           8, ...,        3992,        3996,        4000]), 'magnitudes': array([  9.789e+05,   1.783e+05,       35288, ...,      110.86,      280.08,           0])}",Noise,0,0,none,0.0
21,21,2025-07-23 11:20:37.278161,"{'freqs': array([          0,           4,           8, ...,        3992,        3996,        4000]), 'magnitudes': array([ 3.9546e+05,       52903,      1497.3, ...,       4.704,        83.1,           0])}",Noise,0,0,none,0.0
22,22,2025-07-23 11:20:37.472212,"{'freqs': array([          0,           4,           8, ...,        3992,        3996,        4000]), 'magnitudes': array([ 3.8298e+05,       49690,       36309, ...,      114.07,      78.053,           0])}",Noise,0,0,none,0.0
23,23,2025-07-23 11:20:37.677743,"{'freqs': array([          0,           4,           8, ...,        3992,        3996,        4000]), 'magnitudes': array([ 4.5708e+05,       29513,       22339, ...,      70.179,      46.358,           0])}",Noise,0,0,none,0.0
24,24,2025-07-23 11:20:38.036561,"{'freqs': array([          0,           4,           8, ...,        3992,        3996,        4000]), 'magnitudes': array([ 5.6238e+05,  2.5078e+05,  2.5908e+05, ...,      813.92,      393.93,           0])}",Noise,0,0,none,0.0
25,25,2025-07-23 11:20:38.237973,"{'freqs': array([          0,           4,           8, ...,        3992,        3996,        4000]), 'magnitudes': array([ 2.8899e+05,  1.6677e+05,  2.8341e+05, ...,      927.33,      492.79,         390])}",Noise,0,0,none,12.0
26,26,2025-07-23 11:20:38.439948,"{'freqs': array([          0,           4,           8, ...,        3992,        3996,        4000]), 'magnitudes': array([ 1.3942e+05,       44462,  1.5379e+05, ...,      630.95,      260.41,         195])}",Noise,0,0,none,44.0
