frame_id,timestamp,yaw,pitch,roll
0,2025-11-01 15:41:36.325736,"[312.8, 313.0, 312.7, 313.0, 313.3, 313.0, 313.1, 313.0, 312.8, 313.1]","[0.9, 1.3, 1.3, 1.4, 1.1, 1.0, 1.4, 1.0, 1.4, 1.0]","[-5.9, -5.7, -6.1, -5.7, -5.3, -5.7, -5.5, -5.7, -5.9, -5.6]"
1,2025-11-01 15:41:36.554584,"[313.1, 312.9, 312.8, 312.9, 313.2, 312.9, 312.8, 312.9, 312.6, 312.9, 312.7]","[1.5, 1.1, 0.7, 1.1, 1.0, 0.9, 1.4, 0.9, 1.3, 1.0, 1.4]","[-5.5, -5.8, -6.0, -5.8, -5.3, -5.8, -5.9, -5.9, -6.2, -5.8, -6.1]"
2,2025-11-01 15:41:36.812496,"[312.9, 313.1, 313.4, 313.0, 313.0, 313.1, 313.3, 313.1, 312.8, 313.0, 313.0]","[1.0, 1.5, 1.3, 1.4, 0.9, 1.4, 1.0, 1.4, 1.2, 0.9, 1.3]","[-5.7, -5.6, -5.2, -5.6, -5.7, -5.6, -5.3, -5.5, -6.0, -5.7, -5.7]"
3,2025-11-01 15:41:37.064876,"[312.7, 313.0, 312.8, 312.8, 311.9, 310.7, 309.4, 307.7, 306.1, 304.2, 303.0]","[1.0, 1.2, 0.8, 0.3, -0.1, -0.6, -0.7, -0.8, -0.4, -0.7, -0.8]","[-6.1, -5.6, -5.9, -5.5, -5.6, -5.5, -5.7, -6.1, -6.2, -6.7, -6.1]"
4,2025-11-01 15:41:37.357993,"[301.9, 300.8, 299.0, 297.6, 295.5, 293.6, 291.4, 288.5, 285.4, 283.0, 280.7]","[-0.6, -0.6, -1.1, -1.3, -1.5, -1.9, -2.1, -2.1, -1.7, -1.3, -1.0]","[-5.4, -4.7, -4.6, -3.9, -3.6, -3.9, -3.4, -3.4, -3.5, -3.0, -2.3]"
5,2025-11-01 15:41:37.572045,"[277.6, 275.0, 272.2, 269.7, 267.0, 263.5, 260.5, 259.0, 259.5, 266.2, 260.9]","[-0.5, -0.0, -0.2, 0.0, 0.3, 0.6, 3.3, 3.2, 4.8, 6.9, -0.8]","[-2.6, -2.0, -1.3, -0.3, 0.5, -0.2, -3.2, -3.3, -1.1, 2.8, -1.9]"
6,2025-11-01 15:41:37.824884,"[259.9, 253.6, 250.0, 262.6, 259.9, 253.1, 248.8, 245.2, 249.3, 247.4, 244.8]","[-2.5, -6.5, -10.0, -17.6, -20.0, -14.4, -11.7, -10.8, -7.3, -0.6, 3.7]","[-7.6, -15.2, -19.9, 13.6, 33.3, 24.5, 16.2, 21.2, 31.3, 26.1, 18.3]"
7,2025-11-01 15:41:38.072115,"[243.5, 239.7, 237.7, 239.1, 239.5, 240.7, 242.0, 242.5, 243.2, 244.2, 245.0]","[4.0, 2.9, -2.2, -1.1, -0.7, -2.2, -4.8, -7.5, -9.5, -10.7, -11.8]","[20.0, 22.0, 21.9, 18.9, 15.4, 13.5, 13.3, 15.3, 17.5, 15.3, 12.8]"
8,2025-11-01 15:41:38.325830,"[245.2, 245.1, 244.7, 244.2, 243.3, 242.1, 240.9, 239.8, 238.2, 238.2]","[-13.2, -14.3, -14.6, -14.3, -13.7, -12.7, -11.3, -9.6, -7.8, -6.5]","[12.9, 13.5, 12.3, 10.8, 10.5, 10.8, 10.8, 10.7, 10.7, 12.4]"
9,2025-11-01 15:41:38.558361,"[239.2, 240.0, 240.2, 239.9, 239.8, 239.8, 239.6, 239.3, 239.1, 238.8, 238.8]","[-5.0, -3.7, -3.3, -3.1, -2.6, -2.2, -2.0, -1.9, -2.0, -1.7, -1.4]","[11.1, 9.4, 10.7, 11.9, 11.6, 10.7, 10.0, 9.9, 10.0, 9.4, 9.2]"
10,2025-11-01 15:41:38.808277,"[238.6, 238.4, 238.3, 238.2, 238.1, 237.4, 236.6, 236.0, 235.5, 235.0, 234.9]","[-1.2, -0.8, -0.4, 0.1, 0.6, 0.4, -0.5, -1.4, -2.2, -3.0, -3.5]","[9.0, 8.9, 8.8, 8.9, 9.1, 8.6, 8.2, 8.9, 9.1, 9.7, 11.4]"
11,2025-11-01 15:41:39.063191,"[235.5, 236.1, 237.2, 238.3, 239.9, 242.1, 244.2, 246.4, 248.0, 249.0, 249.1]","[-3.7, -3.3, -2.8, -2.0, -1.1, 0.0, 1.1, 1.9, 2.6, 3.1, 4.0]","[13.4, 16.1, 19.1, 22.6, 26.7, 32.0, 36.7, 41.0, 46.4, 50.4, 54.1]"
12,2025-11-01 15:41:39.316165,"[250.8, 252.2, 253.0, 253.8, 254.0, 254.7, 255.3, 255.3, 255.2, 255.7, 256.0]","[4.1, 4.4, 6.5, 8.0, 8.6, 9.6, 11.1, 12.4, 13.8, 14.4, 15.4]","[59.1, 63.3, 68.2, 73.0, 76.4, 80.3, 85.0, 88.3, 92.1, 96.3, 99.9]"
13,2025-11-01 15:41:39.567770,"[255.7, 254.9, 253.6, 252.2, 252.8, 255.4, 258.9, 262.4, 264.8, 266.9, 268.5]","[15.4, 15.4, 15.4, 15.2, 14.5, 13.4, 12.4, 11.3, 10.2, 9.4, 9.7]","[103.0, 105.9, 108.2, 109.6, 113.4, 118.8, 124.6, 130.4, 133.9, 136.2, 137.9]"
14,2025-11-01 15:41:39.827329,"[268.9, 269.1, 268.9, 267.7, 265.5, 262.5, 259.7, 257.3, 255.9, 254.5, 253.7]","[10.9, 11.7, 11.9, 12.9, 15.1, 17.5, 19.4, 20.8, 21.9, 23.1, 23.9]","[139.3, 138.3, 135.8, 133.1, 131.4, 129.4, 126.2, 122.3, 119.7, 118.1, 116.8]"
15,2025-11-01 15:41:40.074683,"[253.9, 254.1, 254.3, 255.3, 253.8, 251.9, 249.2, 246.0, 242.5, 238.4, 235.6]","[24.3, 24.6, 24.9, 25.0, 25.7, 26.4, 27.4, 28.7, 29.8, 30.6, 31.0]","[117.1, 118.7, 120.8, 122.1, 119.1, 117.4, 116.4, 115.0, 113.9, 111.5, 109.6]"
16,2025-11-01 15:41:40.327263,"[234.1, 231.9, 230.8, 234.3, 238.0, 244.5, 250.8, 254.1, 254.4, 255.7, 256.7]","[31.4, 31.8, 31.7, 31.0, 29.5, 27.4, 26.1, 23.9, 21.7, 20.1, 20.0]","[109.7, 109.9, 111.6, 117.7, 124.2, 131.7, 138.8, 145.8, 148.3, 148.7, 148.4]"
17,2025-11-01 15:41:40.581074,"[256.1, 254.3, 252.2, 249.4, 246.7, 244.0, 241.6, 239.1, 237.9, 237.9]","[20.6, 21.5, 23.3, 25.4, 27.4, 29.1, 30.8, 32.0, 32.8, 33.5]","[145.9, 141.9, 139.6, 137.6, 135.4, 131.7, 128.2, 124.3, 122.4, 122.7]"
18,2025-11-01 15:41:40.809403,"[238.2, 239.1, 239.5, 241.6, 243.1, 243.2, 243.6, 243.7, 243.5, 243.0, 242.5]","[34.0, 34.2, 34.4, 34.5, 34.9, 35.5, 35.8, 36.2, 36.5, 36.9, 37.3]","[123.8, 126.0, 127.8, 130.0, 131.1, 131.4, 132.0, 131.7, 130.9, 129.9, 129.1]"
19,2025-11-01 15:41:41.062244,"[242.4, 242.6, 243.1, 243.6, 244.1, 244.2, 244.1, 244.0, 243.6, 243.8, 244.2]","[37.7, 38.1, 38.4, 38.8, 39.2, 39.5, 39.9, 40.3, 40.7, 41.1, 41.4]","[129.0, 129.6, 130.4, 131.2, 131.6, 131.6, 131.3, 131.0, 130.7, 130.9, 131.4]"
20,2025-11-01 15:41:41.320240,"[245.0, 245.3, 245.7, 247.1, 248.7, 253.0, 270.5, 4.2, 41.4, 51.4, 55.4]","[41.8, 42.2, 42.5, 42.9, 43.3, 43.6, 43.9, 44.0, 43.8, 43.4, 43.1]","[132.1, 132.4, 132.9, 134.3, 135.9, 140.1, 157.5, -108.7, -71.4, -61.4, -57.4]"
21,2025-11-01 15:41:41.568426,"[55.4, 60.9, 48.4, 58.4, 47.9, 59.2, 54.4, 56.5, 44.7, 52.9, 51.7]","[42.7, 42.3, 42.5, 42.2, 42.2, 42.1, 41.9, 42.2, 42.4, 42.0, 42.4]","[-57.4, -51.9, -64.4, -54.4, -64.9, -53.5, -58.4, -56.3, -68.1, -59.9, -61.1]"
22,2025-11-01 15:41:41.822523,"[56.6, 63.6, 56.9, 46.9, 57.7, 61.4, 54.5, 58.7, 53.7, 64.1, 55.9]","[42.0, 42.2, 42.0, 42.3, 42.1, 42.4, 42.2, 41.8, 42.2, 42.0, 41.9]","[-56.2, -49.2, -55.9, -65.9, -55.1, -51.3, -58.3, -54.1, -59.1, -48.7, -56.9]"
23,2025-11-01 15:41:42.076923,"[59.6, 51.3, 57.9, 63.5, 60.6, 53.9, 63.6, 52.9, 63.5, 60.5, 57.0]","[42.2, 42.0, 42.2, 41.9, 42.3, 42.0, 42.1, 42.1, 42.1, 42.4, 42.1]","[-53.2, -61.5, -54.9, -49.3, -52.2, -58.9, -49.2, -59.9, -49.3, -52.2, -55.7]"
24,2025-11-01 15:41:42.327185,"[67.1, 57.8, 66.2, 56.1, 66.9, 56.7, 58.6, 64.5, 59.4, 67.1, 58.0]","[42.1, 42.1, 42.2, 42.2, 42.1, 42.3, 42.0, 42.2, 42.0, 42.1, 42.0]","[-45.6, -54.9, -46.5, -56.7, -45.9, -56.1, -54.2, -48.3, -53.4, -45.6, -54.8]"
25,2025-11-01 15:41:42.580554,"[67.4, 59.0, 64.9, 65.7, 54.5, 65.5, 54.8, 63.7, 54.1, 62.0, 62.8]","[41.8, 42.1, 41.8, 42.1, 42.2, 42.2, 42.2, 41.9, 42.1, 41.8, 42.2]","[-45.3, -53.7, -47.9, -47.0, -58.3, -47.3, -57.9, -49.0, -58.7, -50.8, -50.0]"
26,2025-11-01 15:41:42.835947,"[51.1, 61.4, 63.2, 61.1, 50.6, 62.1, 51.2, 60.2, 58.7, 59.1]","[42.3, 42.0, 42.4, 42.0, 42.3, 42.2, 42.4, 42.1, 41.8, 42.1]","[-61.7, -51.4, -49.6, -51.6, -62.2, -50.7, -61.6, -52.6, -54.1, -53.7]"
27,2025-11-01 15:41:43.064967,"[67.0, 62.9, 67.0, 54.9, 66.8, 57.1, 61.2, 48.6, 61.1, 59.4, 65.2]","[42.3, 42.0, 42.3, 42.4, 42.2, 42.2, 42.5, 42.5, 42.3, 42.0, 42.2]","[-45.7, -49.9, -45.8, -57.9, -46.0, -55.7, -51.5, -64.2, -51.7, -53.4, -47.6]"
28,2025-11-01 15:41:43.321028,"[57.0, 61.2, 72.3, 64.6, 62.2, 64.6, 54.9, 62.1, 60.5, 62.3, 54.0]","[42.1, 42.4, 42.4, 42.2, 42.6, 42.2, 42.1, 42.3, 42.0, 42.3, 42.2]","[-55.8, -51.6, -40.5, -48.2, -50.6, -48.2, -57.9, -50.7, -52.3, -50.5, -58.8]"
29,2025-11-01 15:41:43.573536,"[64.0, 60.0, 68.9, 58.0, 68.8, 60.1, 58.0, 69.3, 62.8, 53.5, 62.0]","[42.2, 42.6, 42.2, 42.3, 42.2, 42.1, 42.5, 42.6, 42.3, 42.7, 42.3]","[-48.7, -52.8, -43.8, -54.8, -43.9, -52.7, -54.8, -43.5, -50.0, -59.3, -50.8]"
30,2025-11-01 15:41:43.824251,"[72.9, 63.0, 52.3, 61.8, 62.1, 56.9, 65.6, 55.3, 59.9, 63.2, 62.6]","[42.1, 42.1, 42.2, 42.2, 41.9, 42.2, 41.9, 42.1, 42.3, 41.9, 42.3]","[-39.8, -49.8, -60.4, -51.0, -50.7, -55.9, -47.2, -57.5, -52.9, -49.6, -50.1]"
31,2025-11-01 15:41:44.079528,"[56.2, 63.2, 56.6, 62.8, 68.5, 61.1, 63.3, 60.9, 58.9, 60.6, 64.3]","[42.1, 42.3, 42.7, 42.3, 41.9, 42.3, 41.9, 42.3, 42.7, 42.3, 41.9]","[-56.6, -49.6, -56.2, -50.0, -44.3, -51.7, -49.5, -51.9, -53.9, -52.2, -48.5]"
32,2025-11-01 15:41:44.328143,"[55.9, 61.2, 59.3, 67.1, 56.7, 65.4, 76.8, 67.4, 55.8, 66.2, 63.2]","[42.2, 42.5, 42.1, 42.3, 42.3, 42.4, 42.4, 42.3, 42.4, 42.1, 42.5]","[-56.9, -51.6, -53.5, -45.7, -56.2, -47.4, -36.0, -45.4, -57.0, -46.6, -49.6]"
33,2025-11-01 15:41:44.587849,"[55.3, 64.1, 61.2, 67.4, 59.9, 60.8, 67.0, 61.3, 62.3, 71.5, 62.5]","[42.3, 42.0, 42.4, 42.0, 42.3, 42.0, 42.2, 42.0, 42.3, 42.4, 42.3]","[-57.5, -48.7, -51.6, -45.4, -52.9, -52.0, -45.8, -51.5, -50.5, -41.3, -50.3]"
34,2025-11-01 15:41:44.834976,"[61.5, 58.2, 59.4, 62.1, 51.4, 60.9, 58.8, 56.7, 52.5, 58.7, 70.0]","[41.9, 42.3, 42.7, 42.3, 42.2, 42.4, 42.0, 42.4, 42.1, 42.4, 42.2]","[-51.3, -54.6, -53.4, -50.7, -61.4, -51.9, -54.0, -56.1, -60.3, -54.1, -42.8]"
35,2025-11-01 15:41:45.087595,"[59.1, 70.3, 59.0, 70.5, 58.3, 63.0, 60.5, 65.9, 59.2, 71.4]","[42.4, 42.2, 42.4, 42.3, 42.5, 42.1, 42.5, 42.1, 42.5, 42.4]","[-53.7, -42.5, -53.8, -42.2, -54.5, -49.8, -52.3, -46.9, -53.6, -41.4]"
36,2025-11-01 15:41:45.324607,"[64.4, 74.6, 63.8, 65.6, 62.3, 64.7, 53.7, 63.9, 56.0, 64.4, 54.2]","[42.2, 42.2, 42.5, 42.1, 42.5, 42.1, 42.2, 42.2, 42.6, 42.2, 42.2]","[-48.4, -38.2, -49.0, -47.2, -50.5, -48.1, -59.1, -48.9, -56.8, -48.4, -58.6]"
37,2025-11-01 15:41:45.570135,"[63.8, 56.5, 63.0, 59.8, 64.3, 73.5, 64.3, 51.8, 63.9, 55.7, 68.5]","[42.3, 42.7, 42.3, 42.7, 42.3, 42.4, 42.3, 42.5, 42.3, 42.6, 42.4]","[-49.0, -56.3, -49.8, -53.0, -48.6, -39.3, -48.5, -61.0, -48.9, -57.1, -44.3]"
38,2025-11-01 15:41:45.823696,"[62.7, 65.7, 60.3, 64.3, 61.3, 67.9, 56.1, 58.7, 62.0, 51.1, 62.6]","[42.2, 42.5, 42.2, 42.5, 42.2, 42.4, 42.4, 42.1, 42.4, 42.3, 42.3]","[-50.1, -47.1, -52.5, -48.5, -51.5, -44.9, -56.7, -54.1, -50.8, -61.7, -50.2]"
39,2025-11-01 15:41:46.085539,"[52.1, 62.0, 67.7, 69.1, 59.4, 72.0, 70.9, 64.0, 67.5, 67.2, 72.7]","[42.3, 42.4, 42.6, 42.3, 42.6, 42.6, 42.2, 42.6, 42.2, 42.6, 42.2]","[-60.7, -50.8, -45.1, -43.7, -53.4, -40.8, -42.0, -48.8, -45.4, -45.6, -40.1]"
40,2025-11-01 15:41:46.331693,"[61.4, 71.4, 62.6, 65.0, 67.1, 55.2, 67.2, 55.3, 66.9, 59.6, 66.2]","[42.4, 42.5, 42.3, 42.7, 42.3, 42.4, 42.3, 42.4, 42.2, 42.6, 42.2]","[-51.5, -41.4, -50.2, -47.8, -45.7, -57.6, -45.6, -57.6, -45.9, -53.2, -46.6]"
41,2025-11-01 15:41:46.582364,"[55.2, 65.1, 62.1, 57.7, 71.6, 60.5, 71.4, 60.1, 71.2, 67.3, 63.7]","[42.5, 42.6, 42.3, 42.7, 42.6, 42.5, 42.2, 42.3, 42.3, 42.0, 42.4]","[-57.7, -47.8, -50.8, -55.2, -41.2, -52.3, -41.4, -52.8, -41.6, -45.5, -49.1]"
42,2025-11-01 15:41:46.842642,"[50.5, 63.8, 75.8, 67.6, 59.7, 71.0, 64.5, 64.9, 52.2, 63.2, 69.1]","[42.6, 42.5, 42.4, 42.3, 42.6, 42.3, 42.1, 42.5, 42.5, 42.2, 42.5]","[-62.4, -49.0, -37.0, -45.2, -53.1, -41.9, -48.4, -47.9, -60.7, -49.7, -43.7]"
43,2025-11-01 15:41:47.090474,"[60.4, 53.7, 64.6, 75.9, 66.7, 69.0, 63.6, 62.0, 75.4, 65.6, 58.0]","[42.3, 42.7, 42.4, 42.3, 42.2, 42.6, 42.3, 42.7, 42.5, 42.4, 42.2]","[-52.4, -59.2, -48.3, -36.9, -46.1, -43.9, -49.3, -50.8, -37.4, -47.2, -54.8]"
44,2025-11-01 15:41:47.358158,"[67.4, 58.8, 58.2, 53.2, 58.8, 66.1, 58.0, 68.2, 56.0, 67.4]","[42.3, 42.7, 42.3, 42.7, 42.3, 42.5, 42.3, 42.4, 42.5, 42.5]","[-45.4, -54.0, -54.6, -59.6, -54.0, -46.7, -54.8, -44.6, -56.8, -45.4]"
45,2025-11-01 15:41:47.575484,"[64.3, 57.7, 60.7, 63.7, 49.9, 63.6, 63.8, 69.1, 56.0, 68.9, 78.4]","[42.2, 42.6, 42.2, 42.5, 42.6, 42.6, 42.2, 42.5, 42.6, 42.4, 42.6]","[-48.5, -55.2, -52.2, -49.1, -62.9, -49.2, -49.0, -43.8, -56.9, -43.9, -34.4]"
46,2025-11-01 15:41:47.828200,"[69.3, 62.1, 61.5, 74.0, 64.3, 51.4, 63.9, 63.6, 59.8, 72.2, 65.9]","[42.4, 42.2, 42.6, 42.5, 42.4, 42.5, 42.5, 42.1, 42.5, 42.4, 42.2]","[-43.5, -50.7, -51.3, -38.8, -48.6, -61.5, -48.9, -49.3, -53.0, -40.6, -46.9]"
47,2025-11-01 15:41:48.077900,"[66.2, 68.2, 65.9, 69.3, 63.9, 59.0, 66.8, 56.1, 59.2, 69.7, 62.6]","[42.5, 42.1, 42.5, 42.1, 42.5, 42.2, 42.4, 42.8, 42.4, 42.5, 42.3]","[-46.6, -44.6, -46.9, -43.5, -48.9, -53.8, -46.0, -56.7, -53.6, -43.1, -50.3]"
48,2025-11-01 15:41:48.330319,"[66.7, 61.1, 68.1, 61.2, 68.2, 59.3, 69.4, 59.6, 66.4, 74.5, 64.7]","[42.6, 42.3, 42.5, 42.3, 42.5, 42.4, 42.5, 42.8, 42.4, 42.7, 42.5]","[-46.2, -51.7, -44.7, -51.7, -44.6, -53.5, -43.4, -53.3, -46.4, -38.3, -48.2]"
49,2025-11-01 15:41:48.583529,"[74.3, 63.8, 66.6, 63.0, 74.7, 76.0, 69.4, 61.5, 57.8, 71.8, 64.9]","[42.7, 42.5, 42.9, 42.5, 42.6, 42.2, 42.5, 42.3, 42.7, 42.6, 42.3]","[-38.5, -49.1, -46.3, -49.9, -38.1, -36.8, -43.5, -51.3, -55.0, -41.0, -48.0]"
50,2025-11-01 15:41:48.841902,"[65.4, 63.9, 67.4, 62.3, 66.2, 78.7, 67.8, 63.3, 71.5, 68.6, 74.2]","[42.7, 42.4, 42.7, 42.4, 42.7, 42.5, 42.4, 42.8, 42.5, 42.1, 42.4]","[-47.4, -48.9, -45.4, -50.5, -46.7, -34.1, -45.0, -49.6, -41.4, -44.2, -38.6]"
