experience_id,last_experience_id_array,timestamp,is_cat_voice,is_human_voice,human_voice_sequence,cat_voice_sequence,meow_loudness,cat_detected,cat_position_x,cat_position_y,cat_distance_change,delta_cat_position,sum_cat_position,movement_intensity,cat_interaction_detected,delta_arm_angle,sum_arm_movement,delta_robot_position,sum_robot_position,delta_robot_rotation,voice_transcription,transcription_seq_id
0,[0],2026-03-03 20:35:51.492890,False,False,[],[],,False,,,,"(nan, nan)",0.0,0.0,False,0.0,0.0,"(0.0, 0.0)",0.0,0.0,,
1,"[0, 1]",2026-03-03 20:35:51.718691,False,False,[],[],,False,,,,"(nan, nan)",0.0,0.09999999999999964,False,0.0,0.0,"(0.0, 0.0)",0.0,0.0,,
2,"[0, 1, 2]",2026-03-03 20:35:52.048278,False,False,[],[],,False,,,,"(nan, nan)",0.0,0.11380711874576983,False,0.0,0.0,"(0.0, 0.0)",0.0,0.0,,
3,"[0, 1, 2, 3]",2026-03-03 20:35:52.236794,False,False,[],[],,False,,,,"(nan, nan)",0.0,0.17549412094592728,False,0.0,0.0,"(0.0, 0.0)",0.0,0.0,,
4,"[0, 1, 2, 3, 4]",2026-03-03 20:35:52.492486,False,False,[],[],,False,,,,"(nan, nan)",0.0,0.26205054736270583,False,0.0,0.0,"(0.0, 0.0)",0.0,0.0,,
5,"[0, 1, 2, 3, 4, 5]",2026-03-03 20:35:52.797138,False,False,[],[],,False,,,,"(nan, nan)",0.0,0.25564325576058516,False,0.0,0.0,"(0.0, 0.0)",0.0,0.0,,
6,"[0, 1, 2, 3, 4, 5, 6]",2026-03-03 20:35:53.025205,False,False,[],[],,False,,,,"(nan, nan)",0.0,0.27063066601570107,False,0.0,0.0,"(0.0, 0.0)",0.0,0.0,,
7,"[0, 1, 2, 3, 4, 5, 6, 7]",2026-03-03 20:35:53.255824,False,False,[],[],,False,,,,"(nan, nan)",0.0,0.2647526824824861,False,0.0,0.0,"(0.0, 0.0)",0.0,0.0,,
8,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2026-03-03 20:35:53.509174,False,False,[],[],,False,,,,"(nan, nan)",0.0,0.3359511081859588,False,0.0,0.0,"(0.0, 0.0)",0.0,0.0,,
9,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",2026-03-03 20:35:53.761950,False,False,[],[],,False,,,,"(nan, nan)",0.0,0.3760105966806452,False,0.0,0.0,"(0.0, 0.0)",0.0,0.0,,
