frame_id,timestamp,yaw,pitch,roll
0,2024-11-24 16:07:38.527862,"[35.75, 35.75, 35.74, 35.74, 35.75, 35.73, 35.74, 35.73, 35.73, 35.82, 35.81, 35.82, 35.81]","[-0.22, 0.01, 0.02, -0.28, -0.4, 0.01, -0.11, 0.01, -0.13, -0.26, -0.07, -0.09, -0.18]","[0.0, -0.21, -0.0, 0.23, 0.08, 0.07, -0.05, 0.02, 0.1, 0.02, -0.02, -0.05, 0.1]"
1,2024-11-24 16:07:38.718502,"[35.82, 35.81, 35.8, 35.83, 35.81, 35.74, 35.72, 35.73, 35.74, 35.73, 35.74, 35.74, 35.74]","[-0.28, -0.02, 0.01, -0.24, -0.15, -0.26, -0.04, -0.18, -0.09, -0.03, -0.25, -0.25, -0.23]","[0.05, -0.05, 0.25, -0.19, 0.1, -0.05, 0.16, 0.08, -0.26, -0.01, -0.05, -0.03, 0.0]"
2,2024-11-24 16:07:38.944539,"[35.73, 35.81, 35.83, 35.83, 35.82, 35.82, 35.82, 35.82, 35.81, 35.82, 35.82, 35.81, 35.8]","[-0.08, -0.24, -0.2, -0.31, -0.27, -0.2, -0.2, -0.13, -0.36, -0.5, -0.16, -0.21, -0.18]","[0.02, 0.21, -0.15, -0.08, 0.02, -0.1, 0.08, -0.03, 0.23, 0.07, -0.13, -0.05, 0.15]"
3,2024-11-24 16:07:39.063709,"[35.81, 35.8, 35.81, 35.8, 35.81, 35.73, 35.73, 35.73, 35.71, 35.72, 35.74, 35.74, 35.73]","[-0.2, -0.2, -0.12, -0.11, -0.23, -0.21, -0.02, -0.18, 0.06, -0.09, -0.15, -0.19, -0.03]","[-0.05, 0.08, -0.16, 0.07, 0.03, 0.1, -0.0, 0.0, 0.13, -0.02, -0.16, -0.13, -0.13]"
4,2024-11-24 16:07:39.246551,"[35.74, 35.77, 35.77, 35.77, 35.77, 35.77, 35.77, 35.78, 35.77, 35.77, 35.82, 35.81, 35.82]","[-0.3, -0.17, -0.29, -0.15, -0.27, -0.09, -0.03, -0.14, -0.09, -0.08, -0.3, 0.01, -0.1]","[-0.0, 0.13, 0.07, 0.08, 0.12, -0.03, 0.02, -0.16, 0.02, -0.0, -0.05, -0.11, -0.16]"
5,2024-11-24 16:07:39.437215,"[35.8, 35.8, 35.81, 35.81, 35.81, 35.81, 35.79, 35.77, 35.77, 35.75, 35.76, 35.77, 35.77]","[-0.03, 0.16, -0.02, -0.2, -0.24, -0.32, -0.33, -0.18, -0.05, 0.06, 0.02, -0.42, 0.06]","[0.08, -0.08, -0.08, 0.1, -0.02, -0.0, -0.15, -0.06, -0.01, 0.1, -0.05, 0.15, -0.08]"
6,2024-11-24 16:07:39.625542,"[35.78, 35.77, 35.74, 35.73, 35.73, 35.73, 35.74, 35.73, 35.73, 35.73, 35.74, 35.73, 35.74]","[-0.25, -0.1, -0.07, -0.18, -0.38, -0.04, -0.2, -0.09, -0.12, -0.14, -0.2, -0.12, -0.1]","[-0.03, 0.08, -0.12, 0.15, 0.26, -0.03, -0.08, -0.08, 0.13, 0.08, -0.05, 0.05, -0.1]"
7,2024-11-24 16:07:39.817597,"[35.73, 35.73, 35.73, 35.72, 35.75, 35.75, 35.86, 35.86, 35.85, 35.86, 35.86, 35.85, 35.84]","[-0.21, -0.1, -0.11, -0.13, -0.25, -0.23, -0.19, -0.34, -0.26, -0.21, -0.33, -0.18, -0.22]","[0.13, -0.01, -0.05, 0.26, -0.03, -0.05, 0.05, 0.08, 0.08, -0.03, 0.08, 0.03, 0.2]"
8,2024-11-24 16:07:39.985632,"[35.85, 35.87, 35.83, 35.82, 35.81, 35.83, 35.8, 35.82, 35.82, 35.81, 35.82, 35.78, 35.77]","[-0.23, -0.28, -0.25, -0.23, -0.11, -0.25, -0.14, -0.23, -0.05, -0.1, -0.18, -0.17, -0.02]","[0.05, -0.28, -0.1, -0.05, 0.06, -0.16, 0.18, 0.05, -0.16, -0.0, 0.05, -0.05, -0.03]"
9,2024-11-24 16:07:40.151325,"[35.78, 35.76, 35.78, 35.78, 35.77, 35.77, 35.78, 35.83, 35.84, 35.84, 35.84, 35.83, 35.82]","[-0.29, -0.14, -0.33, -0.17, -0.15, 0.01, -0.33, -0.1, -0.32, -0.35, -0.26, -0.24, -0.18]","[-0.0, 0.23, 0.04, -0.0, 0.15, 0.13, 0.08, -0.1, -0.1, -0.03, -0.13, 0.05, 0.15]"
10,2024-11-24 16:07:40.341708,"[35.83, 35.83, 35.85, 35.78, 35.79, 35.78, 35.77, 35.78, 35.8, 35.78, 35.78, 35.77, 35.79]","[-0.14, -0.19, -0.27, -0.29, -0.35, -0.22, -0.09, -0.06, -0.33, -0.05, -0.16, -0.2, -0.2]","[-0.16, 0.03, -0.31, 0.07, 0.05, -0.03, 0.11, -0.06, -0.23, -0.05, 0.08, 0.25, 0.11]"
11,2024-11-24 16:07:40.521024,"[35.78, 35.79, 35.8, 35.78, 35.8, 35.79, 35.8, 35.77, 35.87, 35.86, 35.86, 35.86, 35.85]","[-0.09, 0.07, -0.06, 0.02, -0.42, -0.23, -0.37, -0.05, -0.3, -0.17, -0.19, -0.13, -0.14]","[0.18, -0.24, -0.26, -0.02, -0.0, -0.0, 0.0, 0.18, -0.05, 0.02, -0.0, -0.03, 0.1]"
12,2024-11-24 16:07:40.714483,"[35.88, 35.86, 35.88, 35.88, 35.86, 35.83, 35.85, 35.85, 35.85, 35.85, 35.86, 35.86, 35.86]","[-0.25, -0.09, -0.33, -0.11, -0.11, 0.03, -0.33, -0.01, -0.04, -0.18, -0.27, -0.34, -0.43]","[-0.18, -0.02, -0.1, -0.42, -0.18, 0.23, 0.2, 0.02, -0.05, 0.05, -0.08, 0.07, 0.12]"
13,2024-11-24 16:07:40.880059,"[35.86, 35.85, 35.86, 35.86, 35.87, 35.86, 35.86, 35.86, 35.75, 35.72, 35.75, 35.75, 35.75]","[-0.13, 0.02, -0.06, -0.17, 0.0, 0.02, 0.05, -0.03, -0.16, 0.13, -0.09, -0.37, -0.28]","[-0.1, 0.12, -0.08, -0.1, -0.18, -0.08, -0.05, -0.08, -0.13, 0.18, -0.11, -0.05, -0.01]"
14,2024-11-24 16:07:41.073890,"[35.74, 35.71, 35.72, 35.73, 35.73, 35.73, 35.74, 35.74, 35.73, 35.73, 35.73, 35.72, 35.73]","[-0.2, 0.1, 0.0, -0.04, -0.06, -0.06, 0.01, -0.23, -0.16, -0.13, 0.03, 0.13, -0.04]","[-0.06, 0.23, 0.1, -0.05, -0.02, 0.11, -0.1, -0.0, 0.18, 0.17, -0.11, 0.02, -0.05]"
15,2024-11-24 16:07:41.248492,"[35.75, 35.74, 35.74, 35.75, 35.74, 35.74, 35.75, 35.75, 35.73, 35.72, 35.72, 35.72, 35.71]","[-0.2, -0.21, -0.1, -0.31, -0.04, -0.2, -0.29, -0.09, -0.26, -0.12, -0.16, -0.19, -0.09]","[-0.03, 0.0, 0.05, -0.03, -0.16, -0.0, -0.0, -0.21, 0.15, 0.13, 0.15, 0.15, 0.1]"
16,2024-11-24 16:07:41.433642,"[35.72, 35.72, 35.71, 35.72, 35.72, 35.75, 35.75, 35.75, 35.75, 35.75, 35.75, 35.76, 35.74]","[-0.03, -0.11, 0.02, -0.12, -0.23, -0.02, -0.06, -0.14, -0.26, -0.22, -0.2, -0.21, -0.05]","[-0.1, -0.06, -0.03, -0.1, 0.02, 0.02, 0.1, 0.05, 0.08, 0.15, 0.18, -0.08, 0.12]"
17,2024-11-24 16:07:41.611510,"[35.75, 35.74, 35.73, 35.74, 35.72, 35.74, 35.73, 35.73, 35.73, 35.72, 35.77, 35.76, 35.78]","[-0.17, -0.21, 0.03, -0.11, -0.11, -0.09, -0.12, -0.14, -0.07, 0.06, -0.32, -0.28, -0.09]","[0.02, -0.11, -0.11, -0.18, 0.21, -0.14, 0.02, -0.11, -0.05, -0.0, 0.05, 0.15, -0.29]"
18,2024-11-24 16:07:41.808369,"[35.76, 35.75, 35.76, 35.78, 35.76, 35.64, 35.64, 35.65, 35.64, 35.62, 35.65, 35.66, 35.64]","[-0.13, 0.07, -0.09, -0.06, -0.09, -0.15, -0.21, -0.16, -0.1, 0.24, -0.3, -0.25, -0.24]","[0.15, 0.07, 0.03, -0.29, -0.0, 0.13, 0.05, -0.11, -0.0, 0.13, 0.12, -0.18, 0.02]"
19,2024-11-24 16:07:41.980281,"[35.64, 35.64, 35.65, 35.64, 35.65, 35.65, 35.64, 35.65, 35.64, 35.63, 35.71, 35.72, 35.73]","[-0.27, -0.17, -0.31, -0.04, -0.29, -0.32, -0.15, -0.18, -0.11, 0.09, -0.01, -0.05, -0.34]","[0.13, -0.0, -0.03, 0.13, -0.0, 0.03, 0.11, -0.05, 0.1, -0.0, 0.05, -0.07, -0.05]"
