frame_id,timestamp,yaw,pitch,roll
0,2024-11-20 15:32:18.102100,"[43.52, 43.55, 43.55, 43.55, 43.55, 43.55, 43.55, 43.55, 43.55, 43.55, 43.55, 43.59, 43.59, 43.6, 43.6, 43.6, 43.6, 43.6]","[-0.26, 0.08, 0.47, 0.11, -0.22, -0.17, -0.19, 0.17, 0.12, 0.31, 0.27, -0.11, -0.15, -0.04, -0.32, 0.0, 0.14, 0.11]","[0.2, 0.18, 0.08, 0.2, 0.11, 0.39, 0.28, 0.23, 0.28, 0.26, 0.33, 0.31, 0.38, 0.18, 0.18, -0.03, 0.02, 0.22]"
1,2024-11-20 15:32:18.105992,"[43.6, 43.6, 43.6, 43.61, 43.61, 43.61, 43.61, 43.61, 43.6, 43.6, 43.6, 43.6, 43.53, 43.53, 43.53, 43.53, 43.53, 43.52]","[0.3, -0.11, -0.03, 0.1, 0.15, -0.05, 0.13, 0.01, 0.01, 0.05, 0.01, -0.23, 0.19, 0.08, -0.05, -0.1, 0.04, -0.02]","[0.1, 0.41, 0.31, 0.13, 0.17, 0.46, 0.08, 0.21, 0.2, 0.15, 0.18, 0.1, 0.16, 0.18, 0.1, 0.21, 0.25, 0.23]"
2,2024-11-20 15:32:18.108158,"[43.52, 43.52, 43.52, 43.52, 43.56, 43.56, 43.57, 43.57, 43.57, 43.57, 43.57, 43.57, 43.57, 43.55, 43.55, 43.54, 43.54, 43.54]","[0.28, 0.0, -0.06, -0.12, 0.03, -0.09, 0.1, -0.06, 0.09, 0.22, 0.15, 0.09, -0.02, -0.1, 0.11, -0.03, 0.08, 0.19]","[0.28, 0.1, 0.15, 0.41, 0.28, 0.38, -0.06, 0.26, 0.1, -0.16, 0.0, 0.16, 0.07, 0.2, 0.18, 0.15, 0.13, 0.16]"
3,2024-11-20 15:32:18.110466,"[43.54, 43.54, 43.54, 43.54, 43.54, 43.51, 43.5, 43.42, 43.08, 42.92, 42.82, 42.54, 42.48, 42.51, 42.46, 42.38, 42.4, 42.44]","[0.17, -0.02, -0.19, -0.05, -0.04, -0.08, 0.6, -1.77, 2.4, 1.28, 2.78, -1.8, -5.19, -4.61, 1.65, 6.11, 0.3, -4.38]","[0.18, 0.05, 0.1, 0.31, 0.08, 0.1, -0.1, 0.4, -351.32, -358.47, -6.46, 0.32, -0.2, -1.25, -2.72, -358.32, -357.83, -1.25]"
4,2024-11-20 15:32:18.112812,"[42.45, 42.4, 42.39, 42.44, 42.45, 42.42, 42.46, 42.51, 42.53, 42.52, 42.51, 42.53, 42.55, 42.55, 42.57, 42.53, 42.49, 42.54]","[-1.64, 3.18, 2.02, -2.18, -2.46, 1.47, 1.09, -0.25, -0.8, -0.17, 0.73, 0.34, -0.74, 0.4, 1.02, 0.2, -2.74, -1.33]","[-1.33, -357.92, -358.46, -1.3, -1.82, 0.82, -356.2, -1.28, -1.43, 0.85, -358.54, -0.8, -0.88, -0.18, -0.0, 0.41, -356.25, -1.18]"
5,2024-11-20 15:32:18.114886,"[42.52, 42.49, 42.51, 42.5, 42.48, 42.44, 42.48, 42.58, 42.54, 42.55, 42.58, 42.56, 42.55, 42.53, 42.56, 42.55, 42.54, 42.51]","[1.43, 0.9, 0.18, -0.33, 0.48, 0.25, -0.29, -0.19, 0.58, 0.25, 0.18, -1.47, 0.61, 0.2, 0.27, -0.74, -0.28, 0.26]","[-0.27, -358.6, -1.72, -1.0, 0.37, -357.9, -1.26, -0.86, -358.67, 0.39, -1.17, 0.13, 0.28, -358.82, -0.74, -0.14, 0.13, 0.12]"
6,2024-11-20 15:32:18.116741,"[42.5, 42.5, 42.49, 42.48, 42.46, 42.47, 42.47, 42.46, 42.39, 42.39, 42.4, 42.4, 42.39, 42.39, 42.42, 42.4, 42.39, 42.4]","[0.12, -0.04, -0.24, -0.45, 0.21, -0.21, 0.48, 0.48, 0.76, -0.48, -0.22, 0.02, 0.04, -0.39, 0.3, -0.58, -0.25, 0.22]","[0.56, 0.2, 0.51, 0.46, 0.31, -0.56, -0.99, 0.12, 0.61, -358.72, -0.06, 0.36, 0.38, -0.08, -1.42, 0.69, 0.77, 0.07]"
7,2024-11-20 15:32:18.118538,"[42.47, 42.46, 42.46, 42.48, 42.47, 42.47, 42.48, 42.47, 42.46, 42.51, 42.51, 42.51, 42.51, 42.51, 42.51, 42.5, 42.51, 42.5]","[0.19, 0.16, -0.51, 0.58, 0.16, 0.25, -0.28, -0.24, 0.05, -0.07, -0.03, 0.0, 0.44, 0.11, -0.26, -0.3, 0.26, 0.0]","[0.72, 0.77, 0.28, -1.15, 0.26, 0.3, -0.1, 0.33, 0.69, 0.02, 0.07, -0.03, -0.21, 0.22, 0.05, 0.2, 0.02, 0.31]"
8,2024-11-20 15:32:18.120239,"[42.51, 42.38, 42.38, 42.37, 42.37, 42.37, 42.37, 42.36, 42.37, 42.37, 42.41, 42.41, 42.4, 42.39, 42.38, 42.38, 42.37, 42.36]","[0.01, -0.17, -0.16, -0.52, -0.63, 0.33, 0.51, -0.06, -0.27, 0.1, -0.41, -0.11, 0.05, 0.47, 0.24, 0.11, -0.14, 0.04]","[-0.34, 0.49, 0.54, 0.44, 0.43, -0.02, -0.19, 0.64, -0.11, 0.02, -358.41, 0.28, -0.15, 0.08, 0.38, -0.18, -0.05, 0.38]"
9,2024-11-20 15:32:18.209457,"[42.35, 42.35, 42.33, 42.34, 42.35, 42.35, 42.35, 42.36, 42.37, 42.38, 42.41, 42.43, 42.44, 42.47, 42.5, 42.54, 42.6, 42.67]","[0.17, 0.52, 0.37, -0.16, 0.1, 0.29, -0.1, -0.15, 0.16, -0.22, 0.9, 0.24, -0.81, 0.04, 0.57, -0.2, 0.58, 0.23]","[0.49, -0.75, 0.16, -0.22, -0.39, 0.41, 0.46, -0.13, -0.27, 0.31, -0.71, -0.16, -358.98, 0.1, -0.21, -0.4, -1.23, -1.29]"
10,2024-11-20 15:32:18.443582,"[42.75, 42.93, 43.18, 43.59, 44.07, 44.61, 45.32, 46.06, 47.0, 47.89, 48.87, 49.82, 50.72, 51.55, 52.33, 52.98, 53.75, 54.32]","[-0.54, -0.34, -0.29, 2.52, 3.5, 0.64, -0.34, -0.73, -1.23, -3.43, -1.56, -2.23, -4.73, -2.89, -0.92, -0.54, -0.03, -2.19]","[-0.87, -2.52, -5.54, -7.05, -8.28, -6.32, -6.53, -3.09, -7.47, -3.63, -2.1, -357.6, -354.01, -357.26, 0.66, -356.24, -1.79, -354.98]"
11,2024-11-20 15:32:18.677535,"[55.05, 55.76, 56.35, 57.0, 57.97, 58.76, 59.54, 60.27, 61.13, 61.94, 62.69, 63.5, 64.22, 64.79, 65.75, 66.25, 66.83, 67.44]","[-2.4, -3.41, -2.57, -2.28, -0.42, -2.78, -2.51, -1.32, 0.91, 2.11, -1.08, 0.32, 0.63, 1.64, -0.87, 3.17, 0.23, -1.96]","[-0.6, -3.53, -358.67, -357.92, -2.53, -6.71, -5.94, -0.44, -0.94, -0.11, -356.49, -358.93, -358.18, -351.84, -358.09, -355.58, -358.85, -2.98]"
12,2024-11-20 15:32:18.911434,"[67.93, 68.5, 69.1, 69.67, 70.13, 70.86, 71.39, 71.99, 72.49, 73.19, 73.82, 74.47, 75.11, 75.75, 76.38, 76.95, 77.48, 77.91]","[0.82, 0.68, -1.39, -1.17, -0.04, 0.26, -1.25, 0.49, -0.19, -0.32, 0.93, -0.43, -1.65, -0.06, 0.13, 0.47, 0.93, 1.43]","[-358.04, -357.31, -0.57, -2.03, -358.29, -1.15, -358.32, 0.44, -354.31, -1.98, -2.2, -2.51, -1.2, 0.68, -358.32, -358.91, -357.09, -352.86]"
