frame_id,timestamp,yaw,pitch,roll
0,2025-08-23 18:59:05.431293,"[289.4, 289.4, 289.4, 289.4, 289.4, 289.6, 289.4, 289.5, 289.3, 289.4]","[2.1, 2.5, 2.1, 2.5, 2.1, 2.4, 2.1, 2.5, 2.1, 2.5]","[-15.5, -15.7, -15.6, -15.6, -15.6, -15.3, -15.6, -15.5, -15.7, -15.6]"
1,2025-08-23 18:59:05.671536,"[289.7, 289.6, 289.3, 289.6, 289.4, 289.6, 289.3, 289.6, 289.4, 289.6]","[2.5, 2.1, 2.5, 2.2, 2.5, 2.2, 2.4, 2.6, 2.2, 2.5]","[-15.0, -15.3, -15.7, -15.3, -15.6, -15.3, -15.8, -15.4, -15.6, -15.3]"
2,2025-08-23 18:59:05.891262,"[289.4, 289.7, 289.4, 289.4, 289.4, 289.1, 289.4, 289.6, 289.4, 289.7]","[2.2, 2.1, 2.2, 1.8, 2.2, 2.3, 2.2, 2.5, 2.2, 1.9]","[-15.6, -15.1, -15.6, -15.7, -15.5, -16.1, -15.5, -15.3, -15.6, -15.1]"
3,2025-08-23 18:59:06.120292,"[289.4, 289.4, 289.3, 289.6, 289.3, 289.6, 289.4, 289.3, 289.5, 289.5]","[2.2, 2.6, 2.2, 2.2, 2.2, 2.4, 2.1, 2.5, 2.1, 1.7]","[-15.6, -15.6, -15.7, -15.2, -15.7, -15.3, -15.6, -15.8, -15.5, -15.3]"
4,2025-08-23 18:59:06.350080,"[289.5, 289.8, 289.5, 289.2, 289.5, 289.2, 289.5, 289.3, 289.6, 289.4]","[2.1, 2.2, 2.2, 2.2, 2.1, 2.4, 2.6, 2.3, 2.3, 2.5]","[-15.4, -14.9, -15.5, -16.0, -15.5, -15.9, -15.4, -15.7, -15.2, -15.6]"
5,2025-08-23 18:59:06.592204,"[289.4, 289.5, 289.3, 289.4, 289.4, 289.7, 289.5, 289.6, 289.5, 289.4]","[2.1, 2.5, 2.2, 2.5, 2.1, 1.9, 2.3, 1.9, 2.3, 2.7]","[-15.6, -15.4, -15.7, -15.6, -15.6, -15.1, -15.4, -15.2, -15.4, -15.7]"
6,2025-08-23 18:59:06.810135,"[289.3, 289.4, 289.4, 289.4, 289.5, 289.4, 289.4, 289.3, 289.3, 289.4]","[2.3, 1.9, 2.3, 1.9, 2.2, 2.7, 2.3, 2.7, 2.3, 2.6]","[-15.7, -15.6, -15.6, -15.7, -15.5, -15.5, -15.6, -15.8, -15.7, -15.5]"
7,2025-08-23 18:59:08.445551,"[289.4, 289.4, 289.2, 289.4, 289.5, 289.4, 289.5, 289.4, 289.4, 289.4]","[2.2, 1.8, 2.0, 2.1, 2.5, 2.1, 1.7, 2.1, 1.7, 2.1]","[-15.6, -15.5, -16.0, -15.6, -15.4, -15.5, -15.3, -15.5, -15.6, -15.6]"
8,2025-08-23 18:59:08.445696,"[289.3, 289.3, 289.2, 289.4, 289.6, 289.3, 289.5, 289.6, 289.4, 289.4]","[1.7, 2.1, 2.5, 2.2, 1.9, 1.9, 2.2, 1.8, 2.2, 2.6]","[-15.7, -15.7, -16.0, -15.6, -15.2, -15.7, -15.4, -15.2, -15.5, -15.7]"
9,2025-08-23 18:59:08.445848,"[289.4, 289.6, 289.5, 289.4, 289.3, 289.6, 289.3, 289.5, 289.3, 289.6]","[2.2, 2.4, 2.8, 2.4, 2.1, 2.1, 2.3, 1.9, 2.3, 2.1]","[-15.6, -15.2, -15.4, -15.5, -15.7, -15.2, -15.7, -15.4, -15.7, -15.2]"
10,2025-08-23 18:59:08.445997,"[289.5, 289.4, 289.2, 289.4, 289.4, 289.3, 289.4, 289.5, 289.4, 289.4]","[2.4, 2.1, 1.8, 2.0, 2.4, 2.0, 2.4, 2.0, 1.7, 2.1]","[-15.4, -15.6, -16.0, -15.6, -15.6, -15.7, -15.5, -15.3, -15.6, -15.5]"
11,2025-08-23 18:59:08.446140,"[289.2, 289.5, 289.2, 289.4, 289.3, 289.6, 289.3, 289.3, 289.2, 289.4]","[2.3, 2.5, 2.3, 2.5, 2.2, 1.9, 2.2, 2.6, 2.3, 1.9]","[-15.9, -15.5, -15.8, -15.5, -15.7, -15.3, -15.7, -15.7, -15.9, -15.6]"
12,2025-08-23 18:59:08.446276,"[289.4, 289.4, 289.4, 289.3, 289.3, 289.5, 289.4, 289.2, 289.4, 289.4]","[2.3, 1.9, 2.3, 2.7, 2.3, 2.0, 2.4, 2.1, 1.8, 2.2]","[-15.6, -15.6, -15.6, -15.8, -15.7, -15.3, -15.6, -15.9, -15.5, -15.6]"
13,2025-08-23 18:59:08.446414,"[289.5, 289.5, 289.4, 289.5, 289.2, 289.5, 289.4, 289.4, 289.3, 289.6]","[1.8, 2.2, 1.8, 2.2, 2.2, 2.4, 2.0, 2.4, 2.1, 2.1]","[-15.4, -15.4, -15.6, -15.3, -15.8, -15.4, -15.5, -15.5, -15.8, -15.2]"
14,2025-08-23 18:59:08.591788,"[289.4, 289.3, 289.4, 289.4, 289.4, 289.3, 289.3, 289.5, 289.3, 289.3]","[2.5, 2.2, 2.5, 2.9, 2.5, 2.1, 1.7, 2.0, 2.3, 2.8]","[-15.5, -15.7, -15.5, -15.5, -15.6, -15.7, -15.8, -15.4, -15.6, -15.7]"
15,2025-08-23 18:59:08.818461,"[289.5, 289.2, 289.5, 289.4, 289.3, 289.4, 289.4, 289.3, 289.3, 289.3]","[2.4, 2.2, 2.2, 2.6, 2.2, 1.8, 2.2, 1.9, 2.3, 1.9]","[-15.4, -15.9, -15.4, -15.5, -15.7, -15.5, -15.5, -15.7, -15.7, -15.6]"
16,2025-08-23 18:59:09.049274,"[289.4, 289.4, 289.3, 289.6, 289.3, 289.3, 289.4, 289.6, 289.4, 289.3]","[2.2, 2.6, 2.3, 2.4, 2.2, 1.8, 2.2, 2.4, 2.2, 1.9]","[-15.5, -15.6, -15.8, -15.3, -15.7, -15.7, -15.6, -15.3, -15.6, -15.7]"
17,2025-08-23 18:59:09.278673,"[289.3, 289.5, 289.3, 289.2, 289.4, 289.5, 289.3, 289.6, 289.4, 289.3]","[2.3, 2.0, 2.4, 2.0, 2.3, 1.9, 2.2, 2.2, 2.6, 2.3]","[-15.7, -15.4, -15.7, -16.0, -15.6, -15.4, -15.8, -15.3, -15.5, -15.8]"
18,2025-08-23 18:59:09.507998,"[289.5, 289.4, 289.1, 289.4, 289.5, 289.3, 289.5, 289.4, 289.1, 289.4]","[2.0, 2.4, 2.6, 2.4, 2.0, 2.3, 2.0, 2.4, 2.4, 2.3]","[-15.4, -15.5, -16.0, -15.6, -15.4, -15.7, -15.4, -15.5, -16.1, -15.5]"
19,2025-08-23 18:59:09.738469,"[289.4, 289.2, 289.2, 289.0, 289.2, 289.4, 289.5, 289.6, 289.5, 289.5]","[1.9, 1.6, 1.3, 1.0, 1.4, 1.7, 2.0, 2.5, 2.8, 2.4]","[-15.6, -16.0, -15.9, -16.3, -16.0, -15.8, -15.5, -15.4, -15.5, -15.6]"
20,2025-08-23 18:59:09.970536,"[289.6, 289.3, 289.6, 289.5, 289.5, 289.5, 289.7, 289.5, 289.5, 289.4]","[2.7, 2.5, 2.6, 2.2, 1.8, 2.2, 2.3, 2.1, 2.5, 2.9]","[-15.3, -15.8, -15.3, -15.5, -15.6, -15.6, -15.0, -15.5, -15.6, -15.7]"
21,2025-08-23 18:59:10.198638,"[289.5, 289.6, 289.4, 289.3, 289.4, 289.7, 289.4, 289.3, 289.5, 289.4]","[2.5, 2.1, 1.8, 2.2, 2.5, 2.3, 2.2, 1.9, 2.2, 2.6]","[-15.6, -15.2, -15.6, -15.9, -15.6, -15.1, -15.7, -15.8, -15.5, -15.7]"
22,2025-08-23 18:59:14.428184,"[289.4, 289.4, 289.5, 289.6, 289.4, 289.4, 289.4, 289.7, 289.4, 289.6]","[2.1, 1.8, 2.1, 2.5, 2.2, 1.8, 2.2, 2.3, 2.3, 2.6]","[-15.6, -15.7, -15.5, -15.2, -15.6, -15.6, -15.6, -15.1, -15.6, -15.3]"
23,2025-08-23 18:59:14.428325,"[289.5, 289.4, 289.3, 289.6, 289.3, 289.5, 289.3, 289.3, 289.6, 289.3]","[2.3, 1.9, 2.3, 2.0, 1.9, 2.2, 1.9, 2.3, 2.2, 2.1]","[-15.5, -15.7, -15.7, -15.3, -15.8, -15.5, -15.8, -15.9, -15.3, -15.9]"
24,2025-08-23 18:59:14.428472,"[289.4, 289.4, 289.5, 289.3, 289.5, 289.5, 289.4, 289.5, 289.4, 289.3]","[2.4, 2.0, 2.4, 2.1, 1.8, 2.2, 2.6, 2.2, 2.6, 2.2]","[-15.6, -15.6, -15.5, -15.8, -15.4, -15.4, -15.6, -15.5, -15.6, -15.8]"
